,id,name,certifi
0,w000001,"Bonny,Chou",Y
1,w000002,"Christian,Chou",Y
2,w000003,"Russell,Chou",Y
3,w000004,"Ella,Chen",Y
4,w000005,"Emma,Chao",Y
5,w000006,"Trudie,Wu",Y
6,w000007,"Aurora,Yang",Y
7,w000008,"Dan,Wang",Y
8,w000009,"Rick,Wang",Y
9,w000010,"Katharine,Chen",Y
10,w000011,"Glen,Shen",Y
11,w000012,"Kent,Cheng",Y
12,w000013,"George,Shen",Y
13,w000014,"Ross,Shen",Y
14,w000015,"Sue,Chen",Y
15,w000016,"Dexter,Wang",Y
16,w000017,"George,Chang",Y
17,w000018,"Eugene,Wu",Y
18,w000019,"Mia,Li",Y
19,w000020,"Allen,Hsu",Y
20,w000021,"Christine,Chang",Y
21,w000022,"Bob,Li",Y
22,w000023,"Deb,Chen",Y
23,w000024,"Bonny,Li",Y
24,w000025,"Wayne,Shen",Y
25,w000026,"Donna,Cheng",Y
26,w000027,"Olive,Chao",Y
27,w000028,"Nelson,Wang",Y
28,w000029,"Alexis,Hsu",Y
29,w000030,"Edward,Hsu",Y
30,w000031,"Dermot,Shen",Y
31,w000032,"Andy,Chou",Y
32,w000033,"Carmen,Chen",Y
33,w000034,"Christian,Hsu",Y
34,w000035,"Doris,Wu",Y
35,w000036,"Gene,Chen",Y
36,w000037,"Rick,Li",Y
37,w000038,"Eric,Hsu",Y
38,w000039,"Ed,Li",Y
39,w000040,"Olympia,Chang",Y
40,w000041,"Dermot,Chen",Y
41,w000042,"Larry,Wu",Y
42,w000043,"Dwight,Cheng",Y
43,w000044,"Doug,Chou",Y
44,w000045,"Kay,Chou",Y
45,w000046,"Joanna,Cheng",Y
46,w000047,"Craig,Wu",Y
47,w000048,"Barnaby,Wang",Y
48,w000049,"Bruce,Shen",Y
49,w000050,"Ella,Shen",Y
50,w000051,"Colin,Chou",Y
51,w000052,"Linnea,Shen",Y
52,w000053,"Kathy,Yang",Y
53,w000054,"Ella,Chao",Y
54,w000055,"Cleo,Li",Y
55,w000056,"Elsa,Chao",Y
56,w000057,"Christian,Yang",Y
57,w000058,"Carlton,Yang",Y
58,w000059,"Penny,Wu",Y
59,w000060,"Dexter,Chou",Y
60,w000061,"Olive,Wu",Y
61,w000062,"Eliot,Chu",Y
62,w000063,"Alexis,Wang",Y
63,w000064,"Joe,Chu",Y
64,w000065,"Wayne,Wang",Y
65,w000066,"Christian,Chen",Y
66,w000067,"Doug,Wang",Y
67,w000068,"Ira,Li",Y
68,w000069,"Aileen,Chen",Y
69,w000070,"Alanna,Yang",Y
70,w000071,"Constant,Li",Y
71,w000072,"Aurora,Li",Y
72,w000073,"Trudie,Chou",Y
73,w000074,"Jackie,Chen",Y
74,w000075,"Aileen,Chao",Y
75,w000076,"Russell,Shen",Y
76,w000077,"Carlton,Wang",Y
77,w000078,"Bruce,Chang",Y
78,w000079,"Kirk,Chou",Y
79,w000080,"Steve,Chou",Y
80,w000081,"Chris,Yang",Y
81,w000082,"Doris,Chou",Y
82,w000083,"Dennis,Yang",Y
83,w000084,"Gene,Wang",Y
84,w000085,"Dexter,Wu",Y
85,w000086,"Bryan,Chen",Y
86,w000087,"Cora,Chou",Y
87,w000088,"Eliot,Li",Y
88,w000089,"Cyril,Chang",Y
89,w000090,"Flo,Chen",Y
90,w000091,"Elsa,Wu",Y
91,w000092,"Constant,Wang",Y
92,w000093,"Cyril,Shen",Y
93,w000094,"Max,Lu",Y
94,w000095,"Willa,Hsu",Y
95,w000096,"Abel,Chou",Y
96,w000097,"Ivy,Wang",Y
97,w000098,"Donna,Chou",Y
98,w000099,"Christine,Wu",Y
99,w000100,"Gwen,Chen",Y
100,w000101,"Anna,Cheng",Y
101,w000102,"Eric,Chang",Y
102,w000103,"Sal,Hsu",Y
103,w000104,"Bert,Wu",Y
104,w000105,"Doris,Shen",Y
105,w000106,"Russell,Hsu",Y
106,w000107,"Napoleon,Chu",Y
107,w000108,"Daniel,Li",Y
108,w000109,"Ella,Wang",Y
109,w000110,"Jessica,Wu",Y
110,w000111,"Dexter,Yang",Y
111,w000112,"Deb,Chang",Y
112,w000113,"Bonny,Shen",Y
113,w000114,"Alden,Chu",Y
114,w000115,"Terence,Wang",Y
115,w000116,"William,Shen",Y
116,w000117,"Baldwin,Chu",Y
117,w000118,"Eliot,Lu",Y
118,w000119,"Louis,Wang",Y
119,w000120,"Flo,Wu",Y
120,w000121,"Glen,Wang",Y
121,w000122,"Alexis,Chen",Y
122,w000123,"Cleo,Li",Y
123,w000124,"Ira,Shen",Y
124,w000125,"Bruce,Wang",Y
125,w000126,"Bob,Chang",Y
126,w000127,"Ira,Yang",Y
127,w000128,"Sophia,Chao",Y
128,w000129,"Gene,Cheng",Y
129,w000130,"Willa,Chu",Y
130,w000131,"Olive,Wang",Y
131,w000132,"Hector,Chao",Y
132,w000133,"Natalie,Chang",Y
133,w000134,"Allen,Chou",Y
134,w000135,"Robert,Li",Y
135,w000136,"Olympia,Li",Y
136,w000137,"Dominic,Shen",Y
137,w000138,"Clarence,Chen",Y
138,w000139,"Emma,Chen",Y
139,w000140,"Andy,Chao",Y
140,w000141,"Dirk,Chen",Y
141,w000142,"Trudie,Yang",Y
142,w000143,"Dominic,Wu",Y
143,w000144,"Helen,Hsu",Y
144,w000145,"Caesar,Chou",Y
145,w000146,"Sophia,Chang",Y
146,w000147,"Jessica,Chen",Y
147,w000148,"Eric,Shen",Y
148,w000149,"Randy,Wu",Y
149,w000150,"Steve,Chou",Y
